2019-11-04 15:30:54 - [Debug] Book Information{Name: 不只是简·奥斯汀, Author: [美]谢莉·德威斯, AuthorIntroduction: , Press: 南京大学出版社, BriefIntroduction: , Translator: 史敏, PageNum: 388, Price: 0.000000, ISBN: 9787305218309, DoubanScore: 8.400000, CommentNum: 29}
2019-11-04 15:30:55 - [Debug] Book Information{Name: 魔幻玩具铺, Author: [英] 安吉拉·卡特, AuthorIntroduction: , Press: 南京大学出版社, BriefIntroduction: , Translator: 严韵, PageNum: 328, Price: 0.000000, ISBN: 9787305223068, DoubanScore: 8.700000, CommentNum: 70}
2019-11-04 15:30:57 - [Debug] Book Information{Name: 焚舟纪, Author: [英] 安吉拉·卡特, AuthorIntroduction: , Press: 全本书店, BriefIntroduction: , Translator: 严韵, PageNum: 616, Price: 120.000000, ISBN: 9787305204784, DoubanScore: 9.000000, CommentNum: 575}
2019-11-04 15:30:59 - [Debug] Book Information{Name: 愤怒的葡萄, Author: [美]约翰·斯坦贝克, AuthorIntroduction: , Press: 浦睿文化·湖南文艺出版社, BriefIntroduction: , Translator: [美] John Steinbeck, PageNum: 696, Price: 0.000000, ISBN: 9787540491413, DoubanScore: 9.100000, CommentNum: 542}
2019-11-04 15:31:01 - [Debug] Book Information{Name: 渺小一生, Author: [美] 柳原汉雅, AuthorIntroduction: , Press: 广西师范大学出版社, BriefIntroduction: , Translator: 尤传莉, PageNum: 888, Price: 0.000000, ISBN: 9787559817518, DoubanScore: 8.500000, CommentNum: 1190}
2019-11-04 15:31:02 - [Debug] Book Information{Name: 修道院纪事, Author: [葡]若泽·萨拉马戈, AuthorIntroduction: , Press: 南海出版公司, BriefIntroduction: , Translator: 范维信, PageNum: 416, Price: 0.000000, ISBN: 9787544294164, DoubanScore: 8.500000, CommentNum: 396}
2019-11-04 15:31:03 - [Debug] Book Information{Name: 帝国轶闻, Author: [墨西哥] 费尔南多·德尔帕索, AuthorIntroduction: , Press: 后浪丨四川人民出版社, BriefIntroduction: , Translator: 张广森, PageNum: 816, Price: 0.000000, ISBN: 9787220112317, DoubanScore: 9.300000, CommentNum: 140}
2019-11-04 15:31:03 - [Debug] Book Information{Name: , Author: , AuthorIntroduction: , Press: , BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: , DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:31:04 - [Debug] Book Information{Name: 帝国轶闻, Author: [墨西哥] 费尔南多·德尔帕索, AuthorIntroduction: , Press: 后浪丨四川人民出版社, BriefIntroduction: , Translator: 张广森, PageNum: 816, Price: 0.000000, ISBN: 9787220112317, DoubanScore: 9.300000, CommentNum: 140}
2019-11-04 15:31:05 - [Debug] Book Information{Name: 自由的声音, Author: [法]米歇尔·维诺克, AuthorIntroduction: , Press: 文汇出版社, BriefIntroduction: , Translator: 吕一民, PageNum: 776, Price: 0.000000, ISBN: 9787549628100, DoubanScore: 8.800000, CommentNum: 158}
2019-11-04 15:31:06 - [Debug] Book Information{Name: 暴力与反暴力, Author: [美]谭旋, AuthorIntroduction: , Press: 山西人民出版社, BriefIntroduction: , Translator: 黄丹璐, PageNum: 552, Price: 128.000000, ISBN: 9787203106562, DoubanScore: 8.300000, CommentNum: 52}
2019-11-04 15:31:06 - [Debug] Book Information{Name: 恐惧本身, Author: [美]艾拉·卡茨尼尔森, AuthorIntroduction: , Press: 书海出版社, BriefIntroduction: , Translator: 彭海涛, PageNum: 0, Price: 0.000000, ISBN: 9787557100216, DoubanScore: 7.500000, CommentNum: 26}
2019-11-04 15:31:08 - [Debug] Book Information{Name: 黄金时代, Author: [英]本·威尔逊 (Ben Wilson), AuthorIntroduction: , Press: 社会科学文献出版社, BriefIntroduction: , Translator: 聂永光, PageNum: 521, Price: 89.000000, ISBN: 9787520129183, DoubanScore: 7.000000, CommentNum: 78}
2019-11-04 15:31:09 - [Debug] Book Information{Name: 瓜分沙洲, Author: [英]詹姆斯·巴尔 (James Barr), AuthorIntroduction: , Press: 社会科学文献出版社, BriefIntroduction: , Translator: 徐臻, PageNum: 524, Price: 89.000000, ISBN: 9787520128070, DoubanScore: 7.100000, CommentNum: 104}
2019-11-04 15:31:11 - [Debug] Book Information{Name: 布鲁内莱斯基的穹顶, Author: [加] 罗斯·金(Ross King), AuthorIntroduction: , Press: 社会科学文献出版社, BriefIntroduction: , Translator: 冯璇, PageNum: 232, Price: 59.000000, ISBN: 9787520129176, DoubanScore: 7.800000, CommentNum: 172}
2019-11-04 15:31:12 - [Debug] Book Information{Name: 印象巴黎, Author: [加]罗斯·金 (Ross King), AuthorIntroduction: , Press: 甲骨文丛书｜社会科学文献出版社, BriefIntroduction: , Translator: 冯璇, PageNum: 0, Price: 96.000000, ISBN: 9787520140683, DoubanScore: 8.300000, CommentNum: 69}
2019-11-04 15:31:13 - [Debug] Book Information{Name: 世界中心的岛, Author: [美]萧拉瑟, AuthorIntroduction: , Press: 社会科学文献出版社, BriefIntroduction: , Translator: 陈丽丽, PageNum: 496, Price: 86.000000, ISBN: 9787520145947, DoubanScore: 7.800000, CommentNum: 45}
2019-11-04 15:31:14 - [Debug] Book Information{Name: 深蓝帝国, Author: (英) 本·威尔逊 (Ben Wilson), AuthorIntroduction: , Press: 社会科学文献出版社, BriefIntroduction: , Translator: 沈祥麟, PageNum: 0, Price: 168.000000, ISBN: 9787520138574, DoubanScore: 0.000000, CommentNum: 0}
