2019-11-05 09:46:24 - [Debug] Book Information{Name: 恶魔的报酬, Author: 王琢, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 253, Price: 0.000000, ISBN: 9787513301954, DoubanScore: 7.000000, CommentNum: 319}
2019-11-05 09:46:25 - [Debug] Book Information{Name: 龙牙, Author: 李黎明, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 赵青, PageNum: 296, Price: 0.000000, ISBN: 9787513300070, DoubanScore: 6.800000, CommentNum: 456}
2019-11-05 09:46:26 - [Debug] Book Information{Name: 红桃4, Author: 魏红, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 郝红梅, PageNum: 320, Price: 0.000000, ISBN: 9787802255487, DoubanScore: 6.600000, CommentNum: 738}
2019-11-05 09:46:28 - [Debug] Book Information{Name: 王者已逝, Author: 李小刚, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 266, Price: 0.000000, ISBN: 9787802255470, DoubanScore: 6.900000, CommentNum: 872}
2019-11-05 09:46:30 - [Debug] Book Information{Name: 另一方玩家, Author: 夏愉, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 300, Price: 0.000000, ISBN: 9787802255616, DoubanScore: 6.700000, CommentNum: 551}
2019-11-05 09:46:31 - [Debug] Book Information{Name: 脸对脸, Author: 郑乐, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 张吉明, PageNum: 264, Price: 0.000000, ISBN: 9787802255609, DoubanScore: 6.900000, CommentNum: 691}
2019-11-05 09:46:32 - [Debug] Book Information{Name: 生死之门, Author: 埃勒里·奎因, AuthorIntroduction: , Press: 内蒙古人民, BriefIntroduction: , Translator: 韩长清, PageNum: 0, Price: 0.000000, ISBN: 9787204099580, DoubanScore: 6.400000, CommentNum: 409}
2019-11-05 09:46:34 - [Debug] Book Information{Name: 罗马帽子之谜, Author: 韩长清, AuthorIntroduction: , Press: 内蒙古人民出版社, BriefIntroduction: , Translator: , PageNum: 296, Price: 0.000000, ISBN: 9787204099467, DoubanScore: 6.900000, CommentNum: 877}
2019-11-05 09:46:35 - [Debug] Book Information{Name: 罗马帽子之谜, Author: 卢澄, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 刘彪, PageNum: 328, Price: 0.000000, ISBN: 9787513314572, DoubanScore: 6.800000, CommentNum: 636}
2019-11-05 09:46:36 - [Debug] Book Information{Name: 法国粉末之谜, Author: 叶秀敏, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 318, Price: 0.000000, ISBN: 9787513313285, DoubanScore: 7.900000, CommentNum: 432}
2019-11-05 09:46:38 - [Debug] Book Information{Name: 暹罗连体人之谜, Author: 李小刚, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 276, Price: 0.000000, ISBN: 9787513307529, DoubanScore: 7.400000, CommentNum: 329}
2019-11-05 09:46:39 - [Debug] Book Information{Name: 西班牙披肩之谜, Author: 孙蓓雯, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 292, Price: 32.000000, ISBN: 9787513318716, DoubanScore: 7.500000, CommentNum: 437}
2019-11-05 09:46:40 - [Debug] Book Information{Name: 中国橘子之谜, Author: 方力, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 260, Price: 0.000000, ISBN: 9787513311212, DoubanScore: 6.500000, CommentNum: 422}
2019-11-05 09:46:42 - [Debug] Book Information{Name: 希腊棺材之谜, Author: 王敬之, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 404, Price: 0.000000, ISBN: 9787513306744, DoubanScore: 8.500000, CommentNum: 560}
2019-11-05 09:46:43 - [Debug] Book Information{Name: 埃及十字架之谜, Author: [美]埃勒里·奎因, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 谭力, PageNum: 352, Price: 0.000000, ISBN: 9787513321877, DoubanScore: 7.600000, CommentNum: 749}
2019-11-05 09:46:44 - [Debug] Book Information{Name: 希腊棺材之谜, Author: 王敬之, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 512, Price: 0.000000, ISBN: 9787513324717, DoubanScore: 8.100000, CommentNum: 2616}
2019-11-05 09:46:45 - [Debug] Book Information{Name: X的悲剧, Author: , AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 376, Price: 36.000000, ISBN: 9787513323826, DoubanScore: 8.100000, CommentNum: 1625}
2019-11-05 09:46:47 - [Debug] Book Information{Name: Y的悲剧, Author: 许琼莹, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 344, Price: 35.000000, ISBN: 9787513323840, DoubanScore: 8.400000, CommentNum: 1124}
2019-11-05 09:46:47 - [Debug] Book Information{Name: 哲瑞·雷恩的最后一案, Author: 林淑琴, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 296, Price: 35.000000, ISBN: 9787513323833, DoubanScore: 8.100000, CommentNum: 566}
2019-11-05 09:46:49 - [Debug] Book Information{Name: Z的悲剧, Author: 林大容, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: , PageNum: 256, Price: 32.000000, ISBN: 9787513323796, DoubanScore: 7.100000, CommentNum: 583}
2019-11-05 09:46:50 - [Debug] Book Information{Name: 美国枪之谜, Author: [美]埃勒里·奎因, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 夏愉, PageNum: 312, Price: 0.000000, ISBN: 9787513335188, DoubanScore: 7.400000, CommentNum: 94}
2019-11-05 09:46:51 - [Debug] Book Information{Name: 扭曲的铰链, Author: [美]约翰·迪克森·卡尔, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 王占一, PageNum: 264, Price: 0.000000, ISBN: 9787513331906, DoubanScore: 7.200000, CommentNum: 76}
2019-11-05 09:46:51 - [Debug] Book Information{Name: 废墟中的少女侦探2, Author: [日]相泽沙呼, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 靳园元, PageNum: 232, Price: 42.000000, ISBN: 9787513332880, DoubanScore: 7.500000, CommentNum: 50}
2019-11-05 09:46:52 - [Debug] Book Information{Name: 暗幕下的格尔尼卡, Author: [日]原田舞叶, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 吕灵芝, PageNum: 352, Price: 48.000000, ISBN: 9787513335898, DoubanScore: 7.700000, CommentNum: 41}
2019-11-05 09:46:53 - [Debug] Book Information{Name: 只是丢了手机而已, Author: [日]志驾晃, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 吕灵芝, PageNum: 248, Price: 48.000000, ISBN: 9787513335829, DoubanScore: 6.300000, CommentNum: 98}
2019-11-05 09:46:54 - [Debug] Book Information{Name: 只是打算喝一杯而已, Author: [日]志驾晃, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 金静和, PageNum: 188, Price: 35.000000, ISBN: 9787513336086, DoubanScore: 6.400000, CommentNum: 49}
2019-11-05 09:46:55 - [Debug] Book Information{Name: 相亲中毒, Author: [日]秋吉理香子, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 尹晓静, PageNum: 180, Price: 42.000000, ISBN: 9787513336185, DoubanScore: 7.100000, CommentNum: 285}
2019-11-05 09:46:56 - [Debug] Book Information{Name: 魔力的胎動, Author: [日] 东野圭吾, AuthorIntroduction: , Press: 臺灣角川, BriefIntroduction: , Translator: 王蘊潔, PageNum: 316, Price: 0.000000, ISBN: 9789575643454, DoubanScore: 7.100000, CommentNum: 31}
2019-11-05 09:46:57 - [Debug] Book Information{Name: 要是沒有偵探就好了, Author: 東川篤哉, AuthorIntroduction: , Press: 尖端, BriefIntroduction: , Translator: 張鈞堯, PageNum: 248, Price: 0.000000, ISBN: 9789571082936, DoubanScore: 6.500000, CommentNum: 41}
2019-11-05 09:46:58 - [Debug] Book Information{Name: 我討厭的偵探, Author: 東川篤哉, AuthorIntroduction: , Press: 尖端, BriefIntroduction: , Translator: 張鈞堯, PageNum: 256, Price: 0.000000, ISBN: 9789571057620, DoubanScore: 6.400000, CommentNum: 76}
2019-11-05 09:46:59 - [Debug] Book Information{Name: 好想趕快成為名偵探, Author: 東川篤哉, AuthorIntroduction: , Press: 尖端, BriefIntroduction: , Translator: 張鈞堯, PageNum: 240, Price: 0.000000, ISBN: 9789571053592, DoubanScore: 7.400000, CommentNum: 121}
2019-11-05 09:47:00 - [Debug] Book Information{Name: 朝密室射擊!, Author: 東川篤哉, AuthorIntroduction: , Press: 尖端, BriefIntroduction: , Translator: 張鈞堯, PageNum: 288, Price: 0.000000, ISBN: 9789571051079, DoubanScore: 7.200000, CommentNum: 43}
2019-11-05 09:47:01 - [Debug] Book Information{Name: 密室的鑰匙借給你, Author: 東川篤哉, AuthorIntroduction: , Press: 尖端, BriefIntroduction: , Translator: 張鈞堯, PageNum: 288, Price: 0.000000, ISBN: 9789571050522, DoubanScore: 7.500000, CommentNum: 66}
2019-11-05 09:47:03 - [Debug] Book Information{Name: 完全犯罪需要幾隻貓?, Author: 東川篤哉, AuthorIntroduction: , Press: 尖端, BriefIntroduction: , Translator: 張鈞堯, PageNum: 360, Price: 0.000000, ISBN: 9789571051796, DoubanScore: 7.300000, CommentNum: 204}
2019-11-05 09:47:05 - [Debug] Book Information{Name: 不適合交換殺人的夜晚, Author: 東川篤哉, AuthorIntroduction: , Press: 尖端, BriefIntroduction: , Translator: 張鈞堯, PageNum: 301, Price: 0.000000, ISBN: 9789571052830, DoubanScore: 7.500000, CommentNum: 275}
2019-11-05 09:47:06 - [Debug] Book Information{Name: 請勿在此丟棄屍體, Author: 東川篤哉, AuthorIntroduction: , Press: 新雨出版社, BriefIntroduction: , Translator: 鄭舜瓏, PageNum: 352, Price: 0.000000, ISBN: 9789862270806, DoubanScore: 7.200000, CommentNum: 380}
2019-11-05 09:47:08 - [Debug] Book Information{Name: 放學後再推理, Author: 東川篤哉, AuthorIntroduction: , Press: 新雨出版社, BriefIntroduction: , Translator: 鄭舜瓏, PageNum: 304, Price: 0.000000, ISBN: 9789862271070, DoubanScore: 7.600000, CommentNum: 229}
2019-11-05 09:47:09 - [Debug] Book Information{Name: 第13位名偵探, Author: 劉姿君, AuthorIntroduction: , Press: 皇冠文化, BriefIntroduction: , Translator: , PageNum: 320, Price: 0.000000, ISBN: 9789573326793, DoubanScore: 8.200000, CommentNum: 93}
2019-11-05 09:47:10 - [Debug] Book Information{Name: 幸福之書：迷偵探約吉‧甘地之心靈術, Author: 張嘉芬, AuthorIntroduction: , Press: 新雨出版社, BriefIntroduction: , Translator: , PageNum: 240, Price: 0.000000, ISBN: 9789862270752, DoubanScore: 8.600000, CommentNum: 317}
